fixture_id,team_id,action,count,team_scrummy_id
0f0e347d-0a02-4efa-94b1-734bb4259152,2,22 Drop-Out,0,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Advantage,1,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Advantage Over,1,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Ball In Touch,2,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Catch,14,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Conversion,2,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Conversion Missed,2,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Full-Time,0,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Goal-Line Drop-Out,0,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Half-Time,1,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Held Up Over Line,0,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Kick,4,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Kick At Goal Position,6,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Kick Directly To Touch,0,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Kick Missed,1,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Kick Missed Touch,1,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Kick-Off,8,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Kick To Touch,6,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Kick To Touch From Inside 22,0,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Knock On,9,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Lineout,8,d9465fd5-2419-4973-932a-0d13642a41a6
0f0e347d-0a02-4efa-94b1-734bb4259152,2,Lineout Not Straight,1,d9465fd5-2419-4973-932a-0d13642a41a6
