fixture_id,event_name,team_id,team_scrummy_id,event_timestamp,x_position,y_position
0f0e347d-0a02-4efa-94b1-734bb4259152,Lineout Won,2,d9465fd5-2419-4973-932a-0d13642a41a6,482.8295450210571,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Maul Formed,2,d9465fd5-2419-4973-932a-0d13642a41a6,485.03466796875,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Maul Won,2,d9465fd5-2419-4973-932a-0d13642a41a6,487.9325678348541,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Knock On,2,d9465fd5-2419-4973-932a-0d13642a41a6,518.080454826355,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Scrum,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,599.9052078723907,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Scrum Won,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,599.9065868854523,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Maul Formed,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,611.4370269775391,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Maul Incomplete,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,613.933856010437,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Scrum,2,d9465fd5-2419-4973-932a-0d13642a41a6,660.1916069984436,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Scrum Won,2,d9465fd5-2419-4973-932a-0d13642a41a6,660.1923408508301,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Turn Over,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,683.3170049190521,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Kick,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,685.60999584198,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Catch,2,d9465fd5-2419-4973-932a-0d13642a41a6,689.5901188850403,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Penalty For Not Releasign Player,2,d9465fd5-2419-4973-932a-0d13642a41a6,701.2151889801025,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Option: Kick At Goal,2,d9465fd5-2419-4973-932a-0d13642a41a6,792.2966148853302,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Kick At Goal Position,2,d9465fd5-2419-4973-932a-0d13642a41a6,823.1692409515381,48.04152517607718,27.71043771043771
0f0e347d-0a02-4efa-94b1-734bb4259152,Kick Missed,2,d9465fd5-2419-4973-932a-0d13642a41a6,873.002073764801,,
0f0e347d-0a02-4efa-94b1-734bb4259152,22 Drop-Out,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,874.6524257659912,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Catch,2,d9465fd5-2419-4973-932a-0d13642a41a6,874.6543128490448,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Penalty For Dangerous Tackle,2,d9465fd5-2419-4973-932a-0d13642a41a6,896.0637030601501,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Option: Kick,2,d9465fd5-2419-4973-932a-0d13642a41a6,897.9341759681702,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Kick To Touch,2,d9465fd5-2419-4973-932a-0d13642a41a6,899.0634808540344,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Lineout,2,d9465fd5-2419-4973-932a-0d13642a41a6,910.4721097946167,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Lineout Won,2,d9465fd5-2419-4973-932a-0d13642a41a6,910.474084854126,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Maul Formed,2,d9465fd5-2419-4973-932a-0d13642a41a6,911.6173129081726,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Maul Won,2,d9465fd5-2419-4973-932a-0d13642a41a6,963.2802248001099,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Knock On,2,d9465fd5-2419-4973-932a-0d13642a41a6,964.5771837234497,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Scrum,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,969.3776159286499,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Scrum Won,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,969.3798270225525,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Kick,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,972.4121417999268,,
